Case,Date,Sales Person,Activity
6984,2/4/2016,Bob,Lose
6985,2/5/2016,Mary,Lead
6985,2/8/2016,Mary,Contact
6985,2/9/2016,Mary,Contact
6985,2/12/2016,Mary,Contact
6985,2/15/2016,Mary,Contact
6985,2/16/2016,Mary,Contact
6985,2/17/2016,Mary,Quote
6985,2/18/2016,Mary,Lose
6986,2/19/2016,Bill,Lead
6986,2/22/2016,Bill,Contact
6986,2/23/2016,Bill,Contact
6986,2/26/2016,Bill,Contact
6986,3/1/2016,Bill,Contact
6986,3/2/2016,Bill,Quote
6986,3/3/2016,Bill,Win
6987,3/4/2016,Jane,Lead
6987,3/8/2016,Jane,Contact
6987,3/9/2016,Jane,Contact
6987,3/15/2016,Jane,Contact
6987,3/16/2016,Jane,No Quote
6987,3/17/2016,Jane,Lose
6988,3/18/2016,Bob,Lead
6988,3/21/2016,Bob,Contact
6988,3/22/2016,Bob,Contact
6988,3/23/2016,Bob,Contact
6988,3/25/2016,Bob,Contact
6988,3/28/2016,Bob,Contact
6988,3/30/2016,Bob,No Quote
6988,3/31/2016,Bob,Lose
6989,4/1/2016,Mary,Lead
6989,4/4/2016,Mary,Contact
6989,4/6/2016,Mary,Contact
6989,4/11/2016,Mary,Contact
6989,4/12/2016,Mary,Contact
6989,4/13/2016,Mary,No Quote
6989,4/14/2016,Mary,Lose
6990,4/15/2016,Bill,Lead
6990,4/18/2016,Bill,Contact
6990,4/20/2016,Bill,Contact
6990,4/21/2016,Bill,Contact
6990,4/22/2016,Bill,Contact
6990,4/27/2016,Bill,No Quote
6990,4/28/2016,Bill,Lose
6991,4/29/2016,Jane,Lead
6991,5/2/2016,Jane,Contact
6991,5/5/2016,Jane,Contact
6991,5/6/2016,Jane,Contact
6991,5/11/2016,Jane,No Quote
6991,5/12/2016,Jane,Lose
6992,5/13/2016,Bob,Lead
6992,5/16/2016,Bob,Contact
6992,5/17/2016,Bob,Contact
6992,5/18/2016,Bob,Contact
6992,5/19/2016,Bob,Contact
6992,5/23/2016,Bob,Contact
6992,5/24/2016,Bob,Contact
6992,5/25/2016,Bob,Quote
6992,5/26/2016,Bob,Win
6993,5/27/2016,Mary,Lead
6993,5/30/2016,Mary,Contact
6993,5/31/2016,Mary,Contact
6993,6/2/2016,Mary,Contact
6993,6/7/2016,Mary,Contact
6993,6/8/2016,Mary,No Quote
6993,6/9/2016,Mary,Lose
6994,6/10/2016,Bill,Lead
6994,6/14/2016,Bill,Contact
6994,6/16/2016,Bill,Contact
6994,6/21/2016,Bill,Contact
6994,6/22/2016,Bill,No Quote
6994,6/23/2016,Bill,Lose
6995,6/24/2016,Jane,Lead
6995,6/28/2016,Jane,Contact
6995,6/29/2016,Jane,Contact
6995,6/30/2016,Jane,Contact
6995,7/1/2016,Jane,Contact
6995,7/6/2016,Jane,No Quote
6995,7/7/2016,Jane,Lose
6996,7/8/2016,Bob,Lead
6996,7/13/2016,Bob,Contact
6996,7/14/2016,Bob,Contact
6996,7/15/2016,Bob,Contact
6996,7/18/2016,Bob,Contact
6996,7/19/2016,Bob,Contact
6996,7/20/2016,Bob,Quote
6996,7/21/2016,Bob,Win
6997,7/22/2016,Mary,Lead
6997,7/25/2016,Mary,Contact
6997,7/27/2016,Mary,Contact
6997,8/1/2016,Mary,Contact
6997,8/2/2016,Mary,Contact
6997,8/3/2016,Mary,Quote
6997,8/4/2016,Mary,Win
6998,8/5/2016,Bill,Lead
6998,8/9/2016,Bill,Contact
6998,8/10/2016,Bill,Contact
6998,8/11/2016,Bill,Contact
6998,8/12/2016,Bill,Contact
6998,8/16/2016,Bill,Contact
6998,8/17/2016,Bill,Quote
6998,8/18/2016,Bill,Lose
6999,8/19/2016,Jane,Lead
6999,8/22/2016,Jane,Contact
6999,8/29/2016,Jane,Contact
6999,8/31/2016,Jane,No Quote
6999,9/1/2016,Jane,Lose
7000,9/2/2016,Bob,Lead
7000,9/5/2016,Bob,Contact
7000,9/6/2016,Bob,Contact
7000,9/9/2016,Bob,Contact
7000,9/12/2016,Bob,Contact
7000,9/13/2016,Bob,Contact
7000,9/14/2016,Bob,Quote
7000,9/15/2016,Bob,Win
7001,9/16/2016,Mary,Lead
7001,9/20/2016,Mary,Contact
7001,9/21/2016,Mary,Contact
7001,9/23/2016,Mary,Contact
7001,9/26/2016,Mary,Contact
7001,9/27/2016,Mary,Contact
7001,9/28/2016,Mary,Quote
7001,9/29/2016,Mary,Win
7002,9/30/2016,Bill,Lead
7002,10/3/2016,Bill,Contact
7002,10/5/2016,Bill,Contact
7002,10/11/2016,Bill,Contact
7002,10/12/2016,Bill,No Quote
7002,10/13/2016,Bill,Lose
7003,10/14/2016,Jane,Lead
7003,10/17/2016,Jane,Contact
7003,10/19/2016,Jane,Contact
7003,10/20/2016,Jane,Contact
7003,10/21/2016,Jane,Contact
7003,10/24/2016,Jane,Contact
7003,10/25/2016,Jane,Contact
7003,10/26/2016,Jane,No Quote
7003,10/27/2016,Jane,Lose
7004,10/28/2016,Bob,Lead
7004,11/3/2016,Bob,Contact
7004,11/8/2016,Bob,Contact
7004,11/9/2016,Bob,No Quote
7004,11/10/2016,Bob,Lose
7005,11/11/2016,Mary,Lead
7005,11/15/2016,Mary,Contact
7005,11/18/2016,Mary,Contact
7005,11/22/2016,Mary,Contact
7005,11/23/2016,Mary,No Quote
7005,11/24/2016,Mary,Lose
7006,11/25/2016,Bill,Lead
7006,11/30/2016,Bill,Contact
7006,12/1/2016,Bill,Contact
7006,12/2/2016,Bill,Contact
7006,12/7/2016,Bill,No Quote
7006,12/8/2016,Bill,Lose
7007,12/9/2016,Jane,Lead
7007,12/13/2016,Jane,Contact
7007,12/14/2016,Jane,Contact
7007,12/16/2016,Jane,Contact
7007,12/19/2016,Jane,Contact
7007,12/20/2016,Jane,Contact
7007,12/21/2016,Jane,Quote
7007,12/22/2016,Jane,Win
7008,12/23/2016,Bob,Lead
7008,12/26/2016,Bob,Contact
7008,12/27/2016,Bob,Contact
7008,12/28/2016,Bob,Contact
7008,12/30/2016,Bob,Contact
7008,1/1/2010,Bob,Contact
7008,1/4/2010,Bob,Contact
7008,1/5/2010,Bob,Quote
7008,1/6/2010,Bob,Win
7009,1/7/2010,Mary,Lead
7009,1/8/2010,Mary,Contact
7009,1/11/2010,Mary,Contact
7009,1/12/2010,Mary,Contact
7009,1/14/2010,Mary,Contact
7009,1/15/2010,Mary,Contact
7009,1/18/2010,Mary,Contact
7009,1/19/2010,Mary,Quote
7009,1/20/2010,Mary,Win
7010,1/21/2010,Bill,Lead
7010,1/25/2010,Bill,Contact
7010,1/27/2010,Bill,Contact
7010,1/29/2010,Bill,Contact
7010,2/2/2010,Bill,No Quote
7010,2/3/2010,Bill,Lose
7011,2/4/2010,Jane,Lead
7011,2/5/2010,Jane,Contact
7011,2/9/2010,Jane,Contact
7011,2/10/2010,Jane,Contact
7011,2/12/2010,Jane,Contact
7011,2/16/2010,Jane,No Quote
7011,2/17/2010,Jane,Lose
7012,2/18/2010,Bob,Lead
7012,2/22/2010,Bob,Contact
7012,2/25/2010,Bob,Contact
7012,3/2/2010,Bob,No Quote
7012,3/3/2010,Bob,Lose
7013,3/4/2010,Mary,Lead
7013,3/9/2010,Mary,Contact
7013,3/16/2010,Mary,No Quote
7013,3/17/2010,Mary,Lose
7014,3/18/2010,Bill,Lead
7014,3/22/2010,Bill,Contact
7014,3/23/2010,Bill,Contact
7014,3/25/2010,Bill,Contact
7014,3/26/2010,Bill,Contact
7014,3/30/2010,Bill,No Quote
7014,3/31/2010,Bill,Lose
7015,4/1/2010,Jane,Lead
7015,4/6/2010,Jane,Contact
7015,4/8/2010,Jane,Contact
7015,4/12/2010,Jane,Contact
7015,4/13/2010,Jane,No Quote
7015,4/14/2010,Jane,Lose
7016,4/15/2010,Bob,Lead
7016,4/16/2010,Bob,Contact
7016,4/20/2010,Bob,Contact
7016,4/21/2010,Bob,Contact
7016,4/27/2010,Bob,Quote
7016,4/28/2010,Bob,Win
7017,4/29/2010,Mary,Lead
7017,4/30/2010,Mary,Contact
7017,5/3/2010,Mary,Contact
7017,5/5/2010,Mary,Contact
7017,5/10/2010,Mary,Contact
7017,5/11/2010,Mary,Quote
7017,5/12/2010,Mary,Win
7018,5/13/2010,Bill,Lead
7018,5/14/2010,Bill,Contact
7018,5/18/2010,Bill,Contact
7018,5/19/2010,Bill,Contact
7018,5/21/2010,Bill,Contact
7018,5/24/2010,Bill,Contact
7018,5/25/2010,Bill,No Quote
7018,5/26/2010,Bill,Lose
7019,5/27/2010,Jane,Lead
7019,6/1/2010,Jane,Contact
7019,6/2/2010,Jane,Contact
7019,6/4/2010,Jane,Contact
7019,6/8/2010,Jane,No Quote
7019,6/9/2010,Jane,Lose
7020,6/10/2010,Bob,Lead
7020,6/16/2010,Bob,Contact
7020,6/17/2010,Bob,Contact
7020,6/22/2010,Bob,No Quote
7020,6/23/2010,Bob,Lose
7021,6/24/2010,Mary,Lead
7021,6/25/2010,Mary,Contact
7021,6/29/2010,Mary,Contact
7021,6/30/2010,Mary,Contact
7021,7/6/2010,Mary,No Quote
7021,7/7/2010,Mary,Lose
7022,7/8/2010,Bill,Lead
7022,7/9/2010,Bill,Contact
7022,7/14/2010,Bill,Contact
7022,7/15/2010,Bill,Contact
7022,7/20/2010,Bill,Quote
7022,7/21/2010,Bill,Lose
7023,7/22/2010,Jane,Lead
7023,7/26/2010,Jane,Contact
7023,7/27/2010,Jane,Contact
7023,7/29/2010,Jane,Contact
7023,8/3/2010,Jane,No Quote
7023,8/4/2010,Jane,Lose
7024,8/5/2010,Bob,Lead
7024,8/10/2010,Bob,Contact
7024,8/13/2010,Bob,Contact
7024,8/16/2010,Bob,Contact
7024,8/17/2010,Bob,No Quote
7024,8/18/2010,Bob,Lose
7025,8/19/2010,Mary,Lead
7025,8/20/2010,Mary,Contact
7025,8/31/2010,Mary,No Quote
7025,9/1/2010,Mary,Lose
7026,9/2/2010,Bill,Lead
7026,9/3/2010,Bill,Contact
7026,9/6/2010,Bill,Contact
7026,9/8/2010,Bill,Contact
7026,9/10/2010,Bill,Contact
7026,9/14/2010,Bill,No Quote
7026,9/15/2010,Bill,Lose
7027,9/16/2010,Jane,Lead
7027,9/17/2010,Jane,Contact
7027,9/20/2010,Jane,Contact
7027,9/21/2010,Jane,Contact
7027,9/24/2010,Jane,Contact
7027,9/27/2010,Jane,Contact
7027,9/28/2010,Jane,Quote
7027,9/29/2010,Jane,Lose
7028,9/30/2010,Bob,Lead
7028,10/4/2010,Bob,Contact
7028,10/8/2010,Bob,Contact
7028,10/11/2010,Bob,Contact
7028,10/12/2010,Bob,No Quote
7028,10/13/2010,Bob,Lose
7029,10/14/2010,Mary,Lead
7029,10/15/2010,Mary,Contact
7029,10/21/2010,Mary,Contact
7029,10/22/2010,Mary,Contact
7029,10/26/2010,Mary,No Quote
7029,10/27/2010,Mary,Lose
7030,10/28/2010,Bill,Lead
7030,11/1/2010,Bill,Contact
7030,11/2/2010,Bill,Contact
7030,11/3/2010,Bill,Contact
7030,11/4/2010,Bill,Contact
7030,11/8/2010,Bill,Contact
7030,11/9/2010,Bill,Quote
7030,11/10/2010,Bill,Win
7031,11/11/2010,Jane,Lead
7031,11/12/2010,Jane,Contact
7031,11/15/2010,Jane,Contact
7031,11/17/2010,Jane,Contact
7031,11/18/2010,Jane,Contact
7031,11/22/2010,Jane,Contact
7031,11/23/2010,Jane,No Quote
7031,11/24/2010,Jane,Lose
7032,11/25/2010,Bob,Lead
7032,11/26/2010,Bob,Contact
7032,11/29/2010,Bob,Contact
7032,11/30/2010,Bob,Contact
7032,12/3/2010,Bob,Contact
7032,12/7/2010,Bob,Quote
7032,12/8/2010,Bob,Win
7033,12/9/2010,Mary,Lead
7033,12/15/2010,Mary,Contact
7033,12/16/2010,Mary,Contact
7033,12/17/2010,Mary,Contact
7033,12/20/2010,Mary,Contact
7033,12/21/2010,Mary,Quote
7033,12/22/2010,Mary,Win
7034,12/23/2010,Bill,Lead
7034,12/24/2010,Bill,Contact
7034,12/27/2010,Bill,Contact
7034,12/30/2010,Bill,Contact
7034,1/4/2011,Bill,No Quote
7034,1/5/2011,Bill,Lose
7035,1/6/2011,Jane,Lead
7035,1/7/2011,Jane,Contact
7035,1/11/2011,Jane,Contact
7035,1/14/2011,Jane,Contact
7035,1/17/2011,Jane,Contact
7035,1/18/2011,Jane,No Quote
7035,1/19/2011,Jane,Lose
7036,1/20/2011,Bob,Lead
7036,1/21/2011,Bob,Contact
7036,1/26/2011,Bob,Contact
7036,1/31/2011,Bob,Contact
7036,2/1/2011,Bob,No Quote
7036,2/2/2011,Bob,Lose
7037,2/3/2011,Mary,Lead
7037,2/4/2011,Mary,Contact
7037,2/7/2011,Mary,Contact
7037,2/8/2011,Mary,Contact
7037,2/15/2011,Mary,No Quote
7037,2/16/2011,Mary,Lose
7038,2/17/2011,Bill,Lead
7038,2/21/2011,Bill,Contact
7038,2/22/2011,Bill,Contact
7038,2/23/2011,Bill,Contact
7038,2/25/2011,Bill,Contact
7038,2/28/2011,Bill,Contact
7038,3/1/2011,Bill,Quote
7038,3/2/2011,Bill,Win
7039,3/3/2011,Jane,Lead
7039,3/4/2011,Jane,Contact
7039,3/7/2011,Jane,Contact
7039,3/9/2011,Jane,Contact
7039,3/11/2011,Jane,Contact
7039,3/15/2011,Jane,No Quote
7039,3/16/2011,Jane,Lose
7040,3/17/2011,Bob,Lead
7040,3/18/2011,Bob,Contact
7040,3/21/2011,Bob,Contact
7040,3/22/2011,Bob,Contact
7040,3/23/2011,Bob,Contact
7040,3/29/2011,Bob,No Quote
7040,3/30/2011,Bob,Lose
7041,3/31/2011,Mary,Lead
7041,4/5/2011,Mary,Contact
7041,4/6/2011,Mary,Contact
7041,4/8/2011,Mary,Contact
7041,4/12/2011,Mary,No Quote
7041,4/13/2011,Mary,Lose
7042,4/14/2011,Bill,Lead
7042,4/26/2011,Bill,No Quote
7042,4/27/2011,Bill,Lose
7043,4/28/2011,Jane,Lead
7043,4/29/2011,Jane,Contact
7043,5/2/2011,Jane,Contact
7043,5/3/2011,Jane,Contact
7043,5/4/2011,Jane,Contact
7043,5/5/2011,Jane,Contact
7043,5/6/2011,Jane,Contact
7043,5/9/2011,Jane,Contact
7043,5/10/2011,Jane,Quote
7043,5/11/2011,Jane,Win
7044,5/12/2011,Bob,Lead
7044,5/17/2011,Bob,Contact
7044,5/19/2011,Bob,Contact
7044,5/20/2011,Bob,Contact
7044,5/23/2011,Bob,Contact
7044,5/24/2011,Bob,No Quote
7044,5/25/2011,Bob,Lose
7045,5/26/2011,Mary,Lead
7045,5/27/2011,Mary,Contact
7045,5/31/2011,Mary,Contact
7045,6/1/2011,Mary,Contact
7045,6/3/2011,Mary,Contact
7045,6/7/2011,Mary,Quote
7045,6/8/2011,Mary,Win
7046,6/9/2011,Bill,Lead
7046,6/14/2011,Bill,Contact
7046,6/16/2011,Bill,Contact
7046,6/17/2011,Bill,Contact
7046,6/20/2011,Bill,Contact
7046,6/21/2011,Bill,No Quote
7046,6/22/2011,Bill,Lose
7047,6/23/2011,Jane,Lead
7047,6/29/2011,Jane,Contact
7047,6/30/2011,Jane,Contact
7047,7/1/2011,Jane,Contact
7047,7/4/2011,Jane,Contact
7047,7/5/2011,Jane,Quote
7047,7/6/2011,Jane,Win
7048,7/7/2011,Bob,Lead
7048,7/8/2011,Bob,Contact
7048,7/11/2011,Bob,Contact
7048,7/19/2011,Bob,No Quote
7048,7/20/2011,Bob,Lose
7049,7/21/2011,Mary,Lead
7049,7/25/2011,Mary,Contact
7049,7/26/2011,Mary,Contact
7049,7/28/2011,Mary,Contact
7049,8/1/2011,Mary,Contact
7049,8/2/2011,Mary,Quote
7049,8/3/2011,Mary,Lose
7050,8/4/2011,Bill,Lead
7050,8/8/2011,Bill,Contact
7050,8/10/2011,Bill,Contact
7050,8/11/2011,Bill,Contact
7050,8/16/2011,Bill,No Quote
7050,8/17/2011,Bill,Lose
7051,8/18/2011,Jane,Lead
7051,8/19/2011,Jane,Contact
7051,8/26/2011,Jane,Contact
7051,8/29/2011,Jane,Contact
7051,8/30/2011,Jane,No Quote
7051,8/31/2011,Jane,Lose
7052,9/1/2011,Bob,Lead
7052,9/5/2011,Bob,Contact
7052,9/6/2011,Bob,Contact
7052,9/8/2011,Bob,Contact
7052,9/13/2011,Bob,No Quote
7052,9/14/2011,Bob,Lose
7053,9/15/2011,Mary,Lead
7053,9/16/2011,Mary,Contact
7053,9/19/2011,Mary,Contact
7053,9/20/2011,Mary,Contact
7053,9/21/2011,Mary,Contact
7053,9/23/2011,Mary,Contact
7053,9/26/2011,Mary,Contact
7053,9/27/2011,Mary,Quote
7053,9/28/2011,Mary,Lose
7054,9/29/2011,Bill,Lead
7054,10/6/2011,Bill,Contact
7054,10/7/2011,Bill,Contact
7054,10/10/2011,Bill,Contact
7054,10/11/2011,Bill,No Quote
7054,10/12/2011,Bill,Lose
7055,10/13/2011,Jane,Lead
7055,10/14/2011,Jane,Contact
7055,10/18/2011,Jane,Contact
7055,10/19/2011,Jane,Contact
7055,10/20/2011,Jane,Contact
7055,10/25/2011,Jane,No Quote
7055,10/26/2011,Jane,Lose
7056,10/27/2011,Bob,Lead
7056,10/31/2011,Bob,Contact
7056,11/8/2011,Bob,No Quote
7056,11/9/2011,Bob,Lose
7057,11/10/2011,Mary,Lead
7057,11/11/2011,Mary,Contact
7057,11/14/2011,Mary,Contact
7057,11/22/2011,Mary,No Quote
7057,11/23/2011,Mary,Lose
7058,11/24/2011,Bill,Lead
7058,11/25/2011,Bill,Contact
7058,11/28/2011,Bill,Contact
7058,11/30/2011,Bill,Contact
7058,12/6/2011,Bill,No Quote
7058,12/7/2011,Bill,Lose
7059,12/8/2011,Jane,Lead
7059,12/12/2011,Jane,Contact
7059,12/13/2011,Jane,Contact
7059,12/14/2011,Jane,Contact
7059,12/15/2011,Jane,Contact
7059,12/16/2011,Jane,Contact
7059,12/19/2011,Jane,Contact
7059,12/20/2011,Jane,Quote
7059,12/21/2011,Jane,Win
7060,12/22/2011,Bob,Lead
7060,12/23/2011,Bob,Contact
7060,12/26/2011,Bob,Contact
7060,12/27/2011,Bob,Contact
7060,12/28/2011,Bob,Contact
7060,1/2/2012,Bob,Contact
7060,1/3/2012,Bob,No Quote
7060,1/4/2012,Bob,Lose
7061,1/5/2012,Mary,Lead
7061,1/9/2012,Mary,Contact
7061,1/11/2012,Mary,Contact
7061,1/12/2012,Mary,Contact
7061,1/16/2012,Mary,Contact
7061,1/17/2012,Mary,Quote
7061,1/18/2012,Mary,Win
7062,1/19/2012,Bill,Lead
7062,1/23/2012,Bill,Contact
7062,1/24/2012,Bill,Contact
7062,1/30/2012,Bill,Contact
7062,1/31/2012,Bill,Quote
7062,2/1/2012,Bill,Win
7063,2/2/2012,Jane,Lead
7063,2/8/2012,Jane,Contact
7063,2/9/2012,Jane,Contact
7063,2/14/2012,Jane,No Quote
7063,2/15/2012,Jane,Lose
7064,2/16/2012,Bob,Lead
7064,2/17/2012,Bob,Contact
7064,2/21/2012,Bob,Contact
7064,2/23/2012,Bob,Contact
7064,2/28/2012,Bob,No Quote
7064,2/29/2012,Bob,Lose
7065,3/1/2012,Mary,Lead
7065,3/6/2012,Mary,Contact
7065,3/7/2012,Mary,Contact
7065,3/8/2012,Mary,Contact
7065,3/12/2012,Mary,Contact
7065,3/13/2012,Mary,Quote
7065,3/14/2012,Mary,Win
7066,3/15/2012,Bill,Lead
7066,3/19/2012,Bill,Contact
7066,3/20/2012,Bill,Contact
7066,3/21/2012,Bill,Contact
7066,3/23/2012,Bill,Contact
7066,3/26/2012,Bill,Contact
7066,3/27/2012,Bill,No Quote
7066,3/28/2012,Bill,Lose
7067,3/29/2012,Jane,Lead
7067,4/3/2012,Jane,Contact
7067,4/10/2012,Jane,No Quote
7067,4/11/2012,Jane,Lose
7068,4/12/2012,Bob,Lead
7068,4/18/2012,Bob,Contact
7068,4/19/2012,Bob,Contact
7068,4/20/2012,Bob,Contact
7068,4/23/2012,Bob,Contact
7068,4/24/2012,Bob,No Quote
7068,4/25/2012,Bob,Lose
7069,4/26/2012,Mary,Lead
7069,4/27/2012,Mary,Contact
7069,5/1/2012,Mary,Contact
7069,5/2/2012,Mary,Contact
7069,5/3/2012,Mary,Contact
7069,5/8/2012,Mary,Quote
7069,5/9/2012,Mary,Win
7070,5/10/2012,Bill,Lead
7070,5/11/2012,Bill,Contact
7070,5/14/2012,Bill,Contact
7070,5/15/2012,Bill,Contact
7070,5/18/2012,Bill,Contact
7070,5/22/2012,Bill,Quote
7070,5/23/2012,Bill,Lose
7071,5/24/2012,Jane,Lead
7071,5/25/2012,Jane,Contact
7071,5/28/2012,Jane,Contact
7071,5/30/2012,Jane,Contact
7071,5/31/2012,Jane,Contact
7071,6/1/2012,Jane,Contact
7071,6/5/2012,Jane,Quote
7071,6/6/2012,Jane,Lose
7072,6/7/2012,Bob,Lead
7072,6/8/2012,Bob,Contact
7072,6/12/2012,Bob,Contact
7072,6/15/2012,Bob,Contact
7072,6/19/2012,Bob,No Quote
7072,6/20/2012,Bob,Lose
7073,6/21/2012,Mary,Lead
7073,6/22/2012,Mary,Contact
7073,6/25/2012,Mary,Contact
7073,6/27/2012,Mary,Contact
7073,6/29/2012,Mary,Contact
7073,7/2/2012,Mary,Contact
7073,7/3/2012,Mary,Quote
7073,7/4/2012,Mary,Lose
7074,7/5/2012,Bill,Lead
7074,7/9/2012,Bill,Contact
7074,7/13/2012,Bill,Contact
7074,7/17/2012,Bill,No Quote
7074,7/18/2012,Bill,Lose
7075,7/19/2012,Jane,Lead
7075,7/20/2012,Jane,Contact
7075,7/23/2012,Jane,Contact
7075,7/24/2012,Jane,Contact
7075,7/26/2012,Jane,Contact
7075,7/27/2012,Jane,Contact
7075,7/30/2012,Jane,Contact
7075,7/31/2012,Jane,Quote
7075,8/1/2012,Jane,Win
7076,8/2/2012,Bob,Lead
7076,8/6/2012,Bob,Contact
7076,8/7/2012,Bob,Contact
7076,8/8/2012,Bob,Contact
7076,8/13/2012,Bob,Contact
7076,8/14/2012,Bob,No Quote
7076,8/15/2012,Bob,Lose
7077,8/16/2012,Mary,Lead
7077,8/17/2012,Mary,Contact
7077,8/20/2012,Mary,Contact
7077,8/21/2012,Mary,Contact
7077,8/22/2012,Mary,Contact
7077,8/24/2012,Mary,Contact
7077,8/28/2012,Mary,Quote
7077,8/29/2012,Mary,Win
7078,8/30/2012,Bill,Lead
7078,8/31/2012,Bill,Contact
7078,9/3/2012,Bill,Contact
7078,9/5/2012,Bill,Contact
7078,9/6/2012,Bill,Contact
7078,9/10/2012,Bill,Contact
7078,9/11/2012,Bill,Quote
7078,9/12/2012,Bill,Win
7079,9/13/2012,Jane,Lead
7079,9/14/2012,Jane,Contact
7079,9/17/2012,Jane,Contact
7079,9/18/2012,Jane,Contact
7079,9/19/2012,Jane,Contact
7079,9/21/2012,Jane,Contact
7079,9/25/2012,Jane,No Quote
7079,9/26/2012,Jane,Lose
7080,9/27/2012,Bob,Lead
7080,9/28/2012,Bob,Contact
7080,10/1/2012,Bob,Contact
7080,10/2/2012,Bob,Contact
7080,10/9/2012,Bob,No Quote
7080,10/10/2012,Bob,Lose
7081,10/11/2012,Mary,Lead
7081,10/15/2012,Mary,Contact
7081,10/19/2012,Mary,Contact
7081,10/22/2012,Mary,Contact
7081,10/23/2012,Mary,No Quote
7081,10/24/2012,Mary,Lose
7082,10/25/2012,Bill,Lead
7082,10/26/2012,Bill,Contact
7082,10/31/2012,Bill,Contact
7082,11/1/2012,Bill,Contact
7082,11/5/2012,Bill,Contact
7082,11/6/2012,Bill,No Quote
7082,11/7/2012,Bill,Lose
7083,11/8/2012,Jane,Lead
7083,11/9/2012,Jane,Contact
7083,11/15/2012,Jane,Contact
7083,11/20/2012,Jane,No Quote
7083,11/21/2012,Jane,Lose
7084,11/22/2012,Bob,Lead
7084,11/26/2012,Bob,Contact
7084,11/27/2012,Bob,Contact
7084,11/29/2012,Bob,Contact
7084,11/30/2012,Bob,Contact
7084,12/4/2012,Bob,No Quote
7084,12/5/2012,Bob,Lose
7085,12/6/2012,Mary,Lead
7085,12/10/2012,Mary,Contact
7085,12/11/2012,Mary,Contact
7085,12/13/2012,Mary,Contact
7085,12/17/2012,Mary,Contact
7085,12/18/2012,Mary,Quote
7085,12/19/2012,Mary,Lose
7086,12/20/2012,Bill,Lead
7086,12/21/2012,Bill,Contact
7086,12/24/2012,Bill,Contact
7086,12/26/2012,Bill,Contact
7086,12/31/2012,Bill,Contact
7086,1/1/2013,Bill,Quote
7086,1/2/2013,Bill,Lose
7087,1/3/2013,Jane,Lead
7087,1/4/2013,Jane,Contact
7087,1/8/2013,Jane,Contact
7087,1/9/2013,Jane,Contact
7087,1/11/2013,Jane,Contact
7087,1/15/2013,Jane,No Quote
7087,1/16/2013,Jane,Lose
7088,1/17/2013,Bob,Lead
7088,1/18/2013,Bob,Contact
7088,1/21/2013,Bob,Contact
7088,1/25/2013,Bob,Contact
7088,1/28/2013,Bob,Contact
7088,1/29/2013,Bob,Quote
7088,1/30/2013,Bob,Win
7089,1/31/2013,Mary,Lead
7089,2/1/2013,Mary,Contact
7089,2/6/2013,Mary,Contact
7089,2/8/2013,Mary,Contact
7089,2/12/2013,Mary,No Quote
7089,2/13/2013,Mary,Lose
7090,2/14/2013,Bill,Lead
7090,2/20/2013,Bill,Contact
7090,2/21/2013,Bill,Contact
7090,2/22/2013,Bill,Contact
7090,2/26/2013,Bill,No Quote
7090,2/27/2013,Bill,Lose
7091,2/28/2013,Jane,Lead
7091,3/5/2013,Jane,Contact
7091,3/6/2013,Jane,Contact
7091,3/7/2013,Jane,Contact
7091,3/8/2013,Jane,Contact
7091,3/11/2013,Jane,Contact
7091,3/12/2013,Jane,Quote
7091,3/13/2013,Jane,Win
7092,3/14/2013,Bob,Lead
7092,3/15/2013,Bob,Contact
7092,3/19/2013,Bob,Contact
7092,3/20/2013,Bob,Contact
7092,3/26/2013,Bob,No Quote
7092,3/27/2013,Bob,Lose
7093,3/28/2013,Mary,Lead
7093,3/29/2013,Mary,Contact
7093,4/1/2013,Mary,Contact
7093,4/2/2013,Mary,Contact
7093,4/3/2013,Mary,Contact
7093,4/5/2013,Mary,Contact
7093,4/9/2013,Mary,No Quote
7093,4/10/2013,Mary,Lose
7094,4/11/2013,Bill,Lead
7094,4/17/2013,Bill,Contact
7094,4/18/2013,Bill,Contact
7094,4/22/2013,Bill,Contact
7094,4/23/2013,Bill,No Quote
7094,4/24/2013,Bill,Lose
7095,4/25/2013,Jane,Lead
7095,4/26/2013,Jane,Contact
7095,5/1/2013,Jane,Contact
7095,5/2/2013,Jane,Contact
7095,5/7/2013,Jane,No Quote
7095,5/8/2013,Jane,Lose
7096,5/9/2013,Bob,Lead
7096,5/13/2013,Bob,Contact
7096,5/14/2013,Bob,Contact
7096,5/15/2013,Bob,Contact
7096,5/16/2013,Bob,Contact
7096,5/21/2013,Bob,No Quote
7096,5/22/2013,Bob,Lose
7097,5/23/2013,Mary,Lead
7097,5/27/2013,Mary,Contact
7097,5/28/2013,Mary,Contact
7097,5/29/2013,Mary,Contact
7097,5/31/2013,Mary,Contact
7097,6/4/2013,Mary,Quote
7097,6/5/2013,Mary,Lose
7098,6/6/2013,Bill,Lead
7098,6/11/2013,Bill,Contact
7098,6/12/2013,Bill,Contact
7098,6/14/2013,Bill,Contact
7098,6/17/2013,Bill,Contact
7098,6/18/2013,Bill,Quote
7098,6/19/2013,Bill,Win
7099,6/20/2013,Jane,Lead
7099,6/28/2013,Jane,Contact
7099,7/2/2013,Jane,No Quote
7099,7/3/2013,Jane,Lose
7100,7/4/2013,Bob,Lead
7100,7/10/2013,Bob,Contact
